Record Day,Location,Line transect ID,Species Recorded in order
2019-8-3,X2,X22,Pelophylax nigromaculatus
2019-8-3,X2,X22,Pelophylax nigromaculatus
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X22,Fejervarya multistriata
2019-8-3,X2,X22,Fejervarya multistriata
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X22,Microhyla ornata
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X22,Hylarana guentheri
2019-8-3,X2,X23,Microhyla ornata
2019-8-3,X2,X23,Fejervarya multistriata
2019-8-3,X2,X24,Fejervarya multistriata
2019-8-3,X2,X24,Fejervarya multistriata
2019-8-3,X2,X24,Hylarana guentheri
2019-8-3,X2,X24,Hylarana guentheri
2019-8-3,X2,X24,Fejervarya multistriata
2019-8-3,X2,X24,Fejervarya multistriata
2019-8-3,X2,X24,Microhyla ornata
2019-8-3,X2,X24,Pelophylax nigromaculatus
2019-8-3,X2,X24,Bufo gargarizans 
2019-8-4,X3,X31,Fejervarya multistriata
2019-8-4,X3,X31,Hylarana guentheri
2019-8-4,X3,X31,Fejervarya multistriata
2019-8-4,X3,X31,Fejervarya multistriata
2019-8-4,X3,X31,Fejervarya multistriata
2019-8-4,X3,X31,Hylarana guentheri
2019-8-4,X3,X31,Pelophylax nigromaculatus
2019-8-4,X3,X31,Fejervarya multistriata
2019-8-4,X3,X31,Hylarana guentheri
2019-8-4,X3,X31,Hylarana guentheri
2019-8-4,X3,X31,Bufo gargarizans 
2019-8-4,X3,X31,Fejervarya multistriata
2019-8-4,X3,X31,Bufo gargarizans 
2019-8-4,X3,X31,Hylarana guentheri
2019-8-4,X3,X31,Bufo gargarizans 
2019-8-4,X3,X32,Fejervarya multistriata
2019-8-4,X3,X32,Pelophylax nigromaculatus
2019-8-4,X3,X32,Fejervarya multistriata
2019-8-4,X3,X32,Fejervarya multistriata
2019-8-4,X3,X32,Fejervarya multistriata
2019-8-4,X3,X32,Fejervarya multistriata
2019-8-4,X3,X32,Hylarana guentheri
2019-8-4,X3,X32,Pelophylax nigromaculatus
2019-8-4,X3,X32,Bufo gargarizans 
2019-8-4,X3,X32,Pelophylax nigromaculatus
2019-8-4,X3,X33,Microhyla ornata
2019-8-4,X3,X33,Pelophylax nigromaculatus
2019-8-4,X3,X33,Pelophylax nigromaculatus
2019-8-4,X3,X33,Fejervarya multistriata
2019-8-4,X3,X33,Fejervarya multistriata
2019-8-4,X3,X33,Fejervarya multistriata
2019-8-5,X4,X41,Fejervarya multistriata
2019-8-5,X4,X41,Fejervarya multistriata
2019-8-5,X4,X41,Fejervarya multistriata
2019-8-5,X4,X41,Hylarana guentheri
2019-8-5,X4,X41,Hylarana guentheri
2019-8-5,X4,X41,Hylarana guentheri
2019-8-5,X4,X41,Pelophylax nigromaculatus
2019-8-5,X4,X41,Pelophylax nigromaculatus
2019-8-5,X4,X41,Pelophylax nigromaculatus
2019-8-5,X4,X41,Microhyla ornata
2019-8-5,X4,X41,Fejervarya multistriata
2019-8-5,X4,X41,Bufo gargarizans 
2019-8-5,X4,X41,Microhyla ornata
2019-8-5,X4,X42,Microhyla ornata
2019-8-5,X4,X42,Microhyla ornata
2019-8-5,X4,X42,Fejervarya multistriata
2019-8-5,X4,X42,Bufo gargarizans 
2019-8-5,X4,X42,Pelophylax nigromaculatus
2019-8-5,X4,X42,Hylarana guentheri
2019-8-5,X4,X42,Hylarana guentheri
2019-8-5,X4,X42,Hylarana guentheri
2019-8-5,X4,X42,Fejervarya multistriata
2019-8-5,X4,X42,Fejervarya multistriata
2019-8-5,X4,X42,Pelophylax nigromaculatus
2019-8-5,X4,X43,Kaloula rugifera
2019-8-5,X4,X43,Microhyla ornata
2019-8-5,X4,X43,Microhyla ornata
2019-8-5,X4,X43,Bufo gargarizans 
2019-8-5,X4,X43,Hylarana guentheri
2019-8-5,X4,X43,Bufo gargarizans 
2019-8-5,X4,X43,Bufo gargarizans 
2019-8-5,X4,X43,Hylarana guentheri
2019-8-5,X4,X43,Fejervarya multistriata
2019-8-5,X4,X43,Fejervarya multistriata
2019-8-5,X4,X43,Fejervarya multistriata
2019-8-5,X4,X44,Kaloula rugifera
2019-8-5,X4,X44,Microhyla ornata
2019-8-5,X4,X44,Microhyla ornata
2019-8-5,X4,X44,Hylarana guentheri
2019-8-5,X4,X44,Hylarana guentheri
2019-8-5,X4,X44,Microhyla ornata
2019-8-5,X4,X44,Microhyla ornata
2019-8-5,X4,X44,Bufo gargarizans 
2019-8-5,X4,X44,Hylarana guentheri
2019-8-6,X5,X51,Kaloula rugifera
2019-8-6,X5,X51,Fejervarya multistriata
2019-8-6,X5,X51,Microhyla ornata
2019-8-6,X5,X52,Hylarana guentheri
2019-8-6,X5,X53,Bufo gargarizans 
2019-8-6,X5,X53,Bufo gargarizans 
2019-8-6,X5,X53,Bufo gargarizans 
2019-8-6,X5,X53,Microhyla ornata
2019-8-6,X5,X53,Microhyla ornata
2019-8-6,X5,X53,Microhyla ornata
2019-8-6,X5,X53,Microhyla ornata
2019-8-6,X5,X54,Kaloula rugifera
2019-8-6,X5,X54,Pelophylax nigromaculatus
2019-8-6,X5,X54,Kaloula rugifera
2019-8-6,X5,X54,Hylarana guentheri
2019-8-6,X5,X54,Kaloula rugifera
2019-8-6,X5,X54,Pelophylax nigromaculatus
2019-8-6,X5,X54,Hylarana guentheri
2019-8-6,X5,X54,Hylarana guentheri
2019-8-6,X5,X54,Hylarana guentheri
2019-8-6,X5,X54,Pelophylax nigromaculatus
2019-8-6,X5,X54,Kaloula rugifera
2019-8-7,X6,X61,Bufo gargarizans 
2019-8-7,X6,X61,Fejervarya multistriata
2019-8-7,X6,X61,Bufo gargarizans 
2019-8-7,X6,X61,Hylarana guentheri
2019-8-7,X6,X61,Fejervarya multistriata
2019-8-7,X6,X61,Fejervarya multistriata
2019-8-7,X6,X61,Bufo gargarizans 
2019-8-7,X6,X61,Bufo gargarizans 
2019-8-7,X6,X61,Fejervarya multistriata
2019-8-7,X6,X62,Microhyla ornata
2019-8-7,X6,X62,Fejervarya multistriata
2019-8-7,X6,X62,Fejervarya multistriata
2019-8-7,X6,X62,Fejervarya multistriata
2019-8-7,X6,X62,Fejervarya multistriata
2019-8-7,X6,X62,Fejervarya multistriata
2019-8-7,X6,X62,Microhyla ornata
2019-8-7,X6,X62,Microhyla ornata
2019-8-7,X6,X62,Microhyla ornata
2019-8-7,X6,X62,Microhyla ornata
2019-8-7,X6,X63,Pelophylax nigromaculatus
2019-8-7,X6,X63,Pelophylax nigromaculatus
2019-8-7,X6,X63,Pelophylax nigromaculatus
2019-8-7,X6,X63,Hylarana guentheri
2019-8-7,X6,X63,Bufo gargarizans 
2019-8-7,X6,X63,Microhyla ornata
2019-8-7,X6,X63,Microhyla ornata
2019-8-7,X6,X63,Microhyla ornata
2019-8-7,X6,X63,Fejervarya multistriata
2019-8-7,X6,X63,Fejervarya multistriata
2019-8-7,X6,X63,Fejervarya multistriata
2019-8-7,X6,X64,Kaloula rugifera
2019-8-7,X6,X64,Bufo gargarizans 
2019-8-7,X6,X64,Kaloula rugifera
2019-8-7,X6,X64,Kaloula rugifera
2019-8-8,X7,X71,Fejervarya multistriata
2019-8-8,X7,X71,Fejervarya multistriata
2019-8-8,X7,X71,Fejervarya multistriata
2019-8-8,X7,X71,Hylarana guentheri
2019-8-8,X7,X71,Pelophylax nigromaculatus
2019-8-8,X7,X71,Hylarana guentheri
2019-8-8,X7,X71,Pelophylax nigromaculatus
2019-8-8,X7,X71,Kaloula rugifera
2019-8-8,X7,X71,Kaloula rugifera
2019-8-8,X7,X71,Kaloula rugifera
2019-8-8,X7,X71,Bufo gargarizans 
2019-8-8,X7,X71,Bufo gargarizans 
2019-8-8,X7,X71,Bufo gargarizans 
2019-8-8,X7,X71,Pelophylax nigromaculatus
2019-8-8,X7,X72,Hylarana guentheri
2019-8-8,X7,X72,Hylarana guentheri
2019-8-8,X7,X72,Microhyla ornata
2019-8-8,X7,X72,Pelophylax nigromaculatus
2019-8-8,X7,X72,Hylarana guentheri
2019-8-8,X7,X72,Bufo gargarizans 
2019-8-8,X7,X73,Pelophylax nigromaculatus
2019-8-8,X7,X73,Hylarana guentheri
2019-8-8,X7,X73,Bufo gargarizans 
2019-8-8,X7,X73,Bufo gargarizans 
2019-8-8,X7,X73,Bufo gargarizans 
2019-8-8,X7,X74,Kaloula rugifera
2019-8-8,X7,X74,Kaloula rugifera
2019-8-8,X7,X74,Kaloula rugifera
2019-8-8,X7,X74,Kaloula rugifera
2019-8-8,X7,X74,Kaloula rugifera
2019-8-8,X7,X74,Kaloula rugifera
2019-8-8,X7,X74,Bufo gargarizans 
2019-8-8,X7,X74,Bufo gargarizans 
2019-8-8,X7,X74,Bufo gargarizans 
2019-8-8,X7,X74,Bufo gargarizans 
2019-8-8,X7,X74,Bufo gargarizans 
2019-8-8,X7,X74,Hylarana guentheri
2019-8-20,X8,X81,Pelophylax nigromaculatus
2019-8-20,X8,X81,Pelophylax nigromaculatus
2019-8-20,X8,X81,Hylarana guentheri
2019-8-20,X8,X81,Fejervarya multistriata
2019-8-20,X8,X81,Fejervarya multistriata
2019-8-20,X8,X81,Microhyla ornata
2019-8-20,X8,X81,Microhyla ornata
2019-8-20,X8,X81,Bufo gargarizans 
2019-8-20,X8,X82,Hylarana guentheri
2019-8-20,X8,X82,Bufo gargarizans 
2019-8-20,X8,X82,Pelophylax nigromaculatus
2019-8-20,X8,X82,Fejervarya multistriata
2019-8-20,X8,X83,Bufo gargarizans 
2019-8-20,X8,X84,Pelophylax nigromaculatus
2019-8-20,X8,X84,Fejervarya multistriata
2019-8-21,X9,X91,Pelophylax nigromaculatus
2019-8-21,X9,X91,Pelophylax nigromaculatus
2019-8-21,X9,X91,Hylarana guentheri
2019-8-21,X9,X91,Hylarana guentheri
2019-8-21,X9,X91,Fejervarya multistriata
2019-8-21,X9,X91,Bufo gargarizans 
2019-8-21,X9,X92,Hylarana guentheri
2019-8-21,X9,X92,Fejervarya multistriata
2019-8-21,X9,X92,Bufo gargarizans 
2019-8-21,X9,X93,нч
2019-8-21,X9,X94,Hylarana guentheri
2019-8-21,X9,X94,Hylarana guentheri
2019-8-21,X9,X94,Bufo gargarizans 
2019-8-21,X9,X94,Fejervarya multistriata
2019-8-22,X10,X101,Quasipaa boulengeri
2019-8-22,X10,X101,Quasipaa boulengeri
2019-8-22,X10,X101,Fejervarya multistriata
2019-8-22,X10,X101,Rana catesbeiana
2019-8-22,X10,X102,Quasipaa boulengeri
2019-8-22,X10,X102,Quasipaa boulengeri
2019-8-22,X10,X102,Pelophylax nigromaculatus
2019-8-22,X10,X102,Fejervarya multistriata
2019-8-22,X10,X102,Bufo gargarizans 
2019-8-22,X10,X103,Pelophylax nigromaculatus
2019-8-22,X10,X103,Rana chaochiaoensis
2019-8-22,X10,X103,Rana chaochiaoensis
2019-8-22,X10,X103,Fejervarya multistriata
2019-8-23,X11,X111,Hylarana guentheri
2019-8-23,X11,X111,Hylarana guentheri
2019-8-24,X12,X121,Fejervarya multistriata
2019-8-24,X12,X121,Fejervarya multistriata
2019-8-24,X12,X121,Hylarana guentheri
2019-8-24,X12,X121,Bufo gargarizans 
2019-8-24,X12,X122,Pelophylax nigromaculatus
2019-8-24,X12,X122,Pelophylax nigromaculatus
2019-8-24,X12,X122,Hylarana guentheri
2019-8-24,X12,X122,Hylarana guentheri
2019-8-24,X12,X122,Fejervarya multistriata
2019-8-24,X12,X123,Pelophylax nigromaculatus
2019-8-24,X12,X123,Pelophylax nigromaculatus
2019-8-24,X12,X123,Hylarana guentheri
2019-8-24,X12,X123,Hylarana guentheri
2019-8-25,X13,X131,Rana chaochiaoensis
2019-8-25,X13,X131,Rana chaochiaoensis
2019-8-25,X13,X132,Bufo gargarizans 
2019-8-25,X13,X132,Fejervarya multistriata
2019-8-25,X13,X132,Rana chaochiaoensis
2019-8-25,X13,X132,Rana chaochiaoensis
2019-8-25,X13,X132,Rana chaochiaoensis
2019-8-25,X13,X132,Pelophylax nigromaculatus
2019-8-25,X13,X132,Pelophylax nigromaculatus
2019-8-25,X13,X133,Pelophylax nigromaculatus
2019-8-25,X13,X133,Bufo gargarizans 
2019-8-25,X13,X133,Fejervarya multistriata
2019-8-25,X13,X133,Fejervarya multistriata
2019-8-25,X13,X133,Microhyla ornata
2019-8-26,X14,X141,Fejervarya multistriata
2019-8-26,X14,X141,Hylarana guentheri
2019-8-26,X14,X141,Hylarana guentheri
2019-8-26,X14,X141,Bufo gargarizans 
2019-8-26,X14,X142,Hylarana guentheri
2019-8-26,X14,X142,Hylarana guentheri
2019-8-26,X14,X142,Hylarana guentheri
2019-8-26,X14,X142,Fejervarya multistriata
,,,
,,,
